objective,metric,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,n_estimators,auc_train,f1_train,auc_test,f1_test
binary,auc,0.0,0.0,0.1,2,10,10,0.6509188855067393,0.5752929412599114,0.6488659581433632,0.5747336317224881
binary,auc,0.0,0.0,0.1,2,10,20,0.665690311698517,0.589861143668768,0.6574497853555771,0.5903365107984516
binary,auc,0.0,0.0,0.1,2,10,50,0.6824525673432555,0.6001521513640822,0.6667731546043975,0.5962540299018131
binary,auc,0.0,0.0,0.1,2,10,100,0.6915127031187698,0.6058303262689121,0.6707899572015976,0.5976650484734886
binary,auc,0.0,0.0,0.1,2,20,10,0.6509188855067393,0.5752929412599114,0.6488659581433632,0.5747336317224881
binary,auc,0.0,0.0,0.1,2,20,20,0.665690311698517,0.589861143668768,0.6574497853555771,0.5903365107984516
binary,auc,0.0,0.0,0.1,2,20,50,0.68230131890894,0.5995415536653426,0.6665976061011222,0.5959568217022001
binary,auc,0.0,0.0,0.1,2,20,100,0.6914886244214973,0.6043787625379184,0.6701598614542101,0.5972971063657188
binary,auc,0.0,0.0,0.1,2,50,10,0.6509188855067393,0.5752929412599114,0.6488659581433632,0.5747336317224881
binary,auc,0.0,0.0,0.1,2,50,20,0.6655763873712938,0.589861143668768,0.6573100539006355,0.5903365107984516
binary,auc,0.0,0.0,0.1,2,50,50,0.6824188250327435,0.5991748006193282,0.6661371342498096,0.5965139646138944
binary,auc,0.0,0.0,0.1,2,50,100,0.6909886160934292,0.6056065687139599,0.6714591001046045,0.5963200399721781
binary,auc,0.0,0.0,0.1,2,100,10,0.6508108688065078,0.5751658975545916,0.6479494373005487,0.5746492504120754
binary,auc,0.0,0.0,0.1,2,100,20,0.6651547138951465,0.5893490219506012,0.6565957479810068,0.5892430141679577
binary,auc,0.0,0.0,0.1,2,100,50,0.6817750191672577,0.6001733562850929,0.6668598120728447,0.5960366972604328
binary,auc,0.0,0.0,0.1,2,100,100,0.6903351454360296,0.6070335560517478,0.6701042810075547,0.5965564557622202
binary,auc,0.0,0.0,0.1,5,10,10,0.6764581163584872,0.5938154120725776,0.6562061187706125,0.5851164029663233
binary,auc,0.0,0.0,0.1,5,10,20,0.69730103740561,0.6069341849446521,0.6657791942699052,0.5957952946167209
binary,auc,0.0,0.0,0.1,5,10,50,0.7239305752264427,0.6214310703597982,0.6684389074318439,0.5985009955404795
binary,auc,0.0,0.0,0.1,5,10,100,0.7497228536121409,0.6354218839131415,0.6648627003800388,0.5947212395639522
binary,auc,0.0,0.0,0.1,5,20,10,0.6761657209175486,0.5945764602400988,0.6564232794012751,0.5866495657348761
binary,auc,0.0,0.0,0.1,5,20,20,0.6958321527602994,0.6069777684275114,0.6646240986565188,0.5958396854568604
binary,auc,0.0,0.0,0.1,5,20,50,0.7222898936293886,0.621026157737199,0.6693228000990779,0.5998250719274077
binary,auc,0.0,0.0,0.1,5,20,100,0.7469700515755112,0.6335814468201705,0.6668934391834909,0.5952137270907404
binary,auc,0.0,0.0,0.1,5,50,10,0.6743064537502637,0.5936201286364219,0.655313852843148,0.5845255596689766
binary,auc,0.0,0.0,0.1,5,50,20,0.6935084023646434,0.6066677027626848,0.6659464768622471,0.5949703564215573
binary,auc,0.0,0.0,0.1,5,50,50,0.7167672354211602,0.6176251640449596,0.6718908870880468,0.6000912335955018
binary,auc,0.0,0.0,0.1,5,50,100,0.737648874532605,0.6297398790048865,0.6713863243066097,0.5976656858212105
binary,auc,0.0,0.0,0.1,5,100,10,0.6736398681331078,0.5934216235784471,0.6562622405175963,0.58706291164999
binary,auc,0.0,0.0,0.1,5,100,20,0.6910083168611433,0.6043488710589124,0.665851984400503,0.596158352103142
binary,auc,0.0,0.0,0.1,5,100,50,0.7123202554908907,0.6166127533453504,0.6712408722370927,0.6006771915360174
binary,auc,0.0,0.0,0.1,5,100,100,0.7323705413252634,0.6276154201144365,0.6707319719449885,0.598920324202438
binary,auc,0.0,0.0,0.1,10,10,10,0.6825638733032579,0.5996164295124718,0.657340800980077,0.5867789002610103
binary,auc,0.0,0.0,0.1,10,10,20,0.7110317279369746,0.61643250334126,0.6673958228129339,0.5977500630106517
binary,auc,0.0,0.0,0.1,10,10,50,0.7479171372373817,0.6364585795889587,0.6688351586634224,0.5987865582698755
binary,auc,0.0,0.0,0.1,10,10,100,0.7807512087945913,0.6547974418541669,0.6629040501583364,0.594099589522921
binary,auc,0.0,0.0,0.1,10,20,10,0.6836259443469371,0.5995137328117978,0.6581381865198375,0.5867406610919592
binary,auc,0.0,0.0,0.1,10,20,20,0.709873962482913,0.616342991776926,0.6682590366275432,0.5982325819672131
binary,auc,0.0,0.0,0.1,10,20,50,0.7470867792955321,0.6360130563546432,0.6686605666886848,0.5974114115852037
binary,auc,0.0,0.0,0.1,10,20,100,0.7800721207905905,0.6544756540614994,0.6639542442622791,0.593134293947715
binary,auc,0.0,0.0,0.1,10,50,10,0.6831258143705375,0.5989706179637592,0.6582161482909991,0.5874295724106126
binary,auc,0.0,0.0,0.1,10,50,20,0.7058871855264778,0.6139641711851812,0.6671248563614544,0.5981392388660397
binary,auc,0.0,0.0,0.1,10,50,50,0.7403406151143077,0.6336818593710533,0.6704830174320059,0.598967794599835
binary,auc,0.0,0.0,0.1,10,50,100,0.7710197953803909,0.6494981054517469,0.6654737606429458,0.5925300708867934
binary,auc,0.0,0.0,0.1,10,100,10,0.679217122966234,0.5967297194694442,0.6583761873472418,0.5873988252140175
binary,auc,0.0,0.0,0.1,10,100,20,0.6999975208306265,0.6123980961038563,0.6680188700250932,0.5998601821068822
binary,auc,0.0,0.0,0.1,10,100,50,0.7310629626271411,0.6280963094313167,0.6703593495990156,0.5989797234480472
binary,auc,0.0,0.0,0.1,10,100,100,0.7591705233197993,0.645350983234269,0.6659839867361429,0.5978672466329382
binary,auc,0.0,0.0,0.1,20,10,10,0.6826095652974593,0.5997489135307094,0.6575689454766879,0.5870386463646132
